Frontend Supply                                                                                                                                                                                                                                       ;Fertigungsmethode, für relevant                                          ;classes                               ;Sub classes (#)           ;Feldname [EN]                         ;ComparisonType;Datentyp Python Demand;Datentyp Python Supply;Recommender Typ              ;Abhängigkeiten zu anderen Preferences;Dominant Parent
Masskorrekturen                                                                                                                                                                                                                                       ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;dimensional_corrections               ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Zusätzliche Services                                                                                                                                                                                                                                  ;ALL                                                                        ;class GeneralOrderParameters          ;ADDITIONAL SERVICES       ;extra_services                        ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Nacharbeit ist möglich                                                                                                                                                                                                                                ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_PRODUCT           ;rework                                ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"Abnahmeprüfung
  vor Ort ist möglich.                                                                                                                                                                                                                               ";ALL                                                                        ;class TermsAndConditions              ;DELIVERY                  ;inspection_on_site                    ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Meine Kunden sind vorwiegend in Märkten tätig in denen Qualität wichtiger ist als der Preis                                                                                                                                                           ;ALL                                                                        ;class PersonalPreferences             ;QUALITY_AWARENESS         ;quality_price                         ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Überlieferung in Prozent                                                                                                                                                                                                                              ;ALL                                                                        ;class TermsAndConditions              ;DELIVERY                  ;overdelivery                          ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Interne Audits Prozessaudits werden durchgeführt                                                                                                                                                                                                      ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;audit_process                         ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"Kosten
  für die Abnahmeprüfung werden übernommen.                                                                                                                                                                                                          ";ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;cost_acceptance                       ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Produkt Funktions Test werden durchgeführt                                                                                                                                                                                                            ;ALL                                                                        ;class QualityAndCertification         ;QUALITY TESTING           ;production_functioning_test           ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Rücktritt bei  dem Eintreten von Gründen der Höheren Gewalt  ist möglich.                                                                                                                                                                             ;ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;withdrawal                            ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Stornierung                                                                                                                                                                                                                                           ;ALL                                                                        ;class TermsAndConditions              ;GENERELL_ORDER_PARAMETER  ;storno                                ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Akzeptierte  Zahlungsmittel:                                                                                                                                                                                                                          ;ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;accepted_payment_methods              ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
E-Test                                                                                                                                                                                                                                                ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_QUALITY               ;e_test                                ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Prüfmittel Bereitstellung ist möglich                                                                                                                                                                                                                 ;ALL                                                                        ;class QualityAndCertification         ;QUALITY TESTING           ;inspection_equipment                  ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Optimierungsschleife                                                                                                                                                                                                                                  ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;optimization_loop                     ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Maßnahmen Qualitätssicherung                                                                                                                                                                                                                          ;ALL                                                                        ;class QualityAndCertification         ;COMPANY_PROFILE           ;measures_quality_assurance            ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Wollen sie an der Problemlösung beim Kunden mitwirken?                                                                                                                                                                                                ;ALL                                                                        ;class PersonalPreferences             ;COLLABORATION             ;support_customer                      ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Zertifikate                                                                                                                                                                                                                                           ;ALL                                                                        ;class QualityAndCertification         ;CERTIFICATES              ;certificates                          ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Zustellung                                                                                                                                                                                                                                            ;ALL                                                                        ;class TermsAndConditions              ;ADDITIONAL SERVICES       ;delivery                              ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Haftung für Mängel                                                                                                                                                                                                                                    ;ALL                                                                        ;class TermsAndConditions              ;LIABILITY                 ;liability_faults                      ;INCLUSIVE     ;list,bool           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
nötige Änderungen am Bauteil                                                                                                                                                                                                                          ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;necessary_changes                     ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Interne Audits: Systemaudits werden durchgeführt                                                                                                                                                                                                      ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;audit_system                          ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Abnahmeprüfung                                                                                                                                                                                                                                        ;CHANGE_MATERIAL_PROPERTIES,COATING,FUSING,FORMING,PRIMARY_FORMING,CUTTING;class OrderParametersExclPCBAssembly  ;ADDITIONAL SERVICES       ;acceptance_test                       ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Termintreue ist sichergestellt via QM                                                                                                                                                                                                                 ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;adherence_to_schedules                ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
8D Report bei Reklamationen möglich                                                                                                                                                                                                                   ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;objection_8D_report                   ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Ich verkaufe meine Dienstleistungen vorwiegend über einen niedrigeren Preis als die Konkurrenz.                                                                                                                                                       ;ALL                                                                        ;class PersonalPreferences             ;PRICE                     ;low_price                             ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Änderung der Bestellung                                                                                                                                                                                                                               ;ALL                                                                        ;class TermsAndConditions              ;CHANGES                   ;change_order                          ;INCLUSIVE     ;list,bool           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
RoHS-Konformitätserklärung                                                                                                                                                                                                                            ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_QUALITY               ;rohs_conformity                       ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Für welchen Endmarkt wird gefertigt?                                                                                                                                                                                                                  ;ALL                                                                        ;class GeneralOrderParameters          ;GENERELL_ORDER_PARAMETER  ;branche                               ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
X-Ray Test                                                                                                                                                                                                                                            ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_QUALITY               ;xray_check                            ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
"Werden
  Rahmenverträge angeboten?                                                                                                                                                                                                                          ";ALL                                                                        ;class TermsAndConditions              ;AGREEMENT                 ;outline_agreement                     ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Interne Audits Produktaudits werden durchgeführt                                                                                                                                                                                                      ;ALL                                                                        ;class QualityAndCertification         ;AUDITS                    ;audit_product                         ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Automatische Optische Insprektion (AOI)                                                                                                                                                                                                               ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_QUALITY               ;aoi_check                             ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
"Fehler,
  welche der Kontruktion zu zuordnen sind, werden dem Auftraggeber zuerechnet                                                                                                                                                                        ";ALL                                                                        ;class TermsAndConditions              ;MISTAKES                  ;errors                                ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Temperatursensor                                                                                                                                                                                                                                      ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;temperature_sensor                    ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Wenn ein wichtiger Auftrag reinkommt, passe ich meine Fertigungsplanung zugunsten des Auftrages an.                                                                                                                                                 ;ALL                                                                        ;class PersonalPreferences             ;RELIABILITY               ;reschedule_important_order            ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Lieferkonditionen                                                                                                                                                                                                                                     ;ALL                                                                        ;class TermsAndConditions              ;DELIVERY                  ;Delivery_conditions                   ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Temperierung der Formplatten                                                                                                                                                                                                                          ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;temperature_control                   ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Füllbarkeit/Entlüftung/Verzug                                                                                                                                                                                                                         ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;fillability                           ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Anspritzung                                                                                                                                                                                                                                           ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;gatting                               ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Durchführung der Prüfung wird mit kalibierten, geeigneten und fähigen Messmitteln durchgeführt                                                                                                                                                      ;ALL                                                                        ;class QualityAndCertification         ;TESTS                     ;checks_with_proper_tools              ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Qualitätsmanagement System wird ständig verbessert                                                                                                                                                                                                    ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;quality_management_system_improvements;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Verfügen sie über Qualitätssicherungsprogramme die in Zertifikaten dokumentiert sind?                                                                                                                                                                 ;ALL                                                                        ;class PersonalPreferences             ;QUALITY_AWARENESS         ;quality_assurance_program             ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Bei Bedarf zusätzliche Audits möglich                                                                                                                                                                                                                 ;ALL                                                                        ;class QualityAndCertification         ;AUDITS                    ;additional_audits                     ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Einsätze und Schieber                                                                                                                                                                                                                                 ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;inserts_and_slides                    ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Simulation notwendig                                                                                                                                                                                                                                  ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;simulation                            ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Forminnendrucksensor                                                                                                                                                                                                                                  ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;mold_cavity_pressure                  ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Null Fehler Strategie wird verfolgt im QM                                                                                                                                                                                                             ;ALL                                                                        ;class QualityAndCertification         ;MISTAKES                  ;zero_error_strategy                   ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"Dauer
  der Haftübernahme                                                                                                                                                                                                                                  ";ALL                                                                        ;class TermsAndConditions              ;LIABILITY                 ;duration_detention                    ;IS_IN         ;int                   ;range,int           ;ZonePreference               ;-                                    ;-
Formaufbau aus Normalien                                                                                                                                                                                                                              ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;mould_construction_from               ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Einlegteile                                                                                                                                                                                                                                           ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;inserts                               ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Warenausgangskontrolle ist vorhanden                                                                                                                                                                                                                  ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_PRODUCT           ;checking_of_outgoing_goods            ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Materialbeschaffung                                                                                                                                                                                                                                   ;ALL                                                                        ;class GeneralOrderParameters          ;ADDITIONAL SERVICES       ;component_material_procurement        ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Sind sie an einer längeren Partnerschaft interessiert?                                                                                                                                                                                                ;ALL                                                                        ;class PersonalPreferences             ;COLLABORATION             ;long_term_cooperation                 ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
two_terminal                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;two_terminal                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
small_count                                                                                                                                                                                                                                           ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;small_count                           ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
a_capacitor                                                                                                                                                                                                                                           ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;a_capacitor                           ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
ball_grid_array                                                                                                                                                                                                                                       ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;ball_grid_array                       ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
chip_scale                                                                                                                                                                                                                                            ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;chip_scale                            ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
t_capacitor                                                                                                                                                                                                                                           ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;t_capacitor                           ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
small_outline_ic                                                                                                                                                                                                                                      ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;small_outline_ic                      ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
non_packaged                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;non_packaged                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
surface_mount                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;surface_mount                         ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
through_hole                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;through_hole                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
multi_chip                                                                                                                                                                                                                                            ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;multi_chip                            ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
chip_carrier                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;chip_carrier                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
flat_package                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;flat_package_supplier                 ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
pin_grid_array                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;pin_grid_array                        ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
single_panel                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;single_panel                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
multiple_panel                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;multiple_panel                        ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
mixed_panel                                                                                                                                                                                                                                           ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;mixed_panel                           ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
edge_plating                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;edge_plating                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
inner_milling                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;inner_milling                         ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
solder_mask                                                                                                                                                                                                                                           ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;solder_mask                           ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
legend_printing                                                                                                                                                                                                                                       ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;legend_printing                       ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Industries in which you are active                                                                                                                                                                                                                    ;ALL                                                                        ;class Company                         ;AREAS_ACTIVITY            ;industries                            ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Sprachen                                                                                                                                                                                                                                              ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;languages                             ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Bemusterung wird angeboten                                                                                                                                                                                                                            ;ALL                                                                        ;class QualityAndCertification         ;ADDITIONAL SERVICES       ;sampling                              ;INV_INCLUSIVE ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
"Ist die
  vereinbarte Menge abnehme pflichtig?                                                                                                                                                                                                               ";ALL                                                                        ;class TermsAndConditions              ;AGREEMENT                 ;outline_agreement_take_ordered_amount ;INV_INCLUSIVE ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
RFID embedded                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_GENERELL              ;rfid_embedded                         ;INV_INCLUSIVE ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
"Mindermengenzuschlag
  in Prozent?                                                                                                                                                                                                                                 ";ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;low_amount_addition                   ;INV_INCLUSIVE ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Abweichungen bei der Qualität wird dokumentiert                                                                                                                                                                                                       ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;deviation_quality                     ;INV_INCLUSIVE ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Netzliste                                                                                                                                                                                                                                             ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_GENERELL              ;netlist                               ;INV_INCLUSIVE ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
"Eigentumsvorbehalt
  bis zur vollständigen Bezahlung:                                                                                                                                                                                                                   ";ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;reservation_rights                    ;INV_INCLUSIVE ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"Gibt es
  bei Rahmenverträgen eine mind. Abnahme Menge?                                                                                                                                                                                                      ";ALL                                                                        ;class TermsAndConditions              ;DELIVERY_DETAILS          ;outline_agreement_minimal_amount      ;INV_INCLUSIVE ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Lötschablone                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_GENERELL              ;solder_paste_mask                     ;INV_INCLUSIVE ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Mindest Bestellmenge                                                                                                                                                                                                                                  ;ALL                                                                        ;class GeneralOrderParameters          ;DETAILS_DEPARTMENT_FIGURES;amount_order                          ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
Wie wichtig ist ihnen Qualität?                                                                                                                                                                                                                       ;ALL                                                                        ;class PersonalPreferences             ;QUALITY_AWARENESS         ;strategic_cooperation_quality         ;              ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie stellen sie sich Kundentermine vor?                                                                                                                                                                                                               ;ALL                                                                        ;class PersonalPreferences             ;PRINCIPLE_OPERATION       ;meeting_types                         ;EXACT         ;list,bool           ;list,bool           ;SingleChoicePreference       ;-                                    ;-
Welchen Kommunikationskanal bevorzugen sie in der Zusammenarbeit?                                                                                                                                                                                     ;ALL                                                                        ;class PersonalPreferences             ;PRINCIPLE_OPERATION       ;communication_types                   ;EXACT         ;list,bool           ;list,bool           ;SingleChoicePreference       ;-                                    ;-
Mitarbeiter:innen Anzahl Gesamt                                                                                                                                                                                                                       ;ALL                                                                        ;class Company                         ;DETAILS_BUSINESS_FIGURES  ;employees_total                       ;-             ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
Design Richtlinien                                                                                                                                                                                                                                    ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;design_roles                          ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Welche Rolle spielt Branchenwissen bei der Wahl der Fertigungspartners?                                                                                                                                                                               ;ALL                                                                        ;class PersonalPreferences             ;SPECIAL_KNOWLEDGE         ;domain_knowledge                      ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie gehe ich mit Werten im Betrieb um?                                                                                                                                                                                                                ;ALL                                                                        ;class PersonalPreferences             ;MOTIVES_VALUES            ;sustainability_time_price             ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
"Ist Ihr Unternehmen in einer der folgenden Branchen tätig oder verkauft es eine der folgenden Arten von Produkten?
                                                                                                                                   ";ALL                                                                        ;class SustanabilityProfile            ;SDGs                      ;sustainability_industires             ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Wie reagieren Sie, wenn sie einen Fehler in den Konstruktionen ihres Kunden entdecken?                                                                                                                                                              ;ALL                                                                        ;class PersonalPreferences             ;COLLABORATION             ;feedback_customer                     ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Profilbild                                                                                                                                                                                                                                            ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;image                                 ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Rechnungsadresse                                                                                                                                                                                                                                      ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;lastInvoiceAddressId                  ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Logos Referenzkunden                                                                                                                                                                                                                                  ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;logo                                  ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Wie wichtig ist der Preis für mich?                                                                                                                                                                                                                   ;ALL                                                                        ;class PersonalPreferences             ;PRICE                     ;price_importance                      ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
USPs                                                                                                                                                                                                                                                  ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;usp                                   ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
E-Mail wiederholen                                                                                                                                                                                                                                    ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;emailVerified                         ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Firmenname                                                                                                                                                                                                                                            ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;company_name                          ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Gibt es in Ihrem Unternehmen eines der folgenden Verfahren zur Förderung der Entwicklung und des Einsatzes umweltfreundlicher Technologien?                                                                                                           ;ALL                                                                        ;class SustanabilityProfile            ;SDGs                      ;contributing_sdgs                     ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Welche Arbeitsmethode bevorzugen Sie?                                                                                                                                                                                                                 ;ALL                                                                        ;class PersonalPreferences             ;EXPECTATIONS_PARTNER      ;working_method                        ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Hat Ihr Unternehmen eine der folgenden Maßnahmen ergriffen, um speziell zu den Zielen für nachhaltige Entwicklung beizutragen?                                                                                                                      ;ALL                                                                        ;class SustanabilityProfile            ;MEASUREMENT               ;advanced_measurement                  ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Ergänzende Informationen zu ihren Dienstlesitungen                                                                                                                                                                                                    ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;supplementary_information             ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Vorname                                                                                                                                                                                                                                               ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;first_name                            ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Wie hoch ist die jährliche Mindestanzahl bezahlter freier Tage (einschließlich Urlaub) für Vollzeitbeschäftigte?                                                                                                                                      ;ALL                                                                        ;class SustanabilityProfile            ;LABOR                     ;number_paid_days_off                  ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Verfügt Ihr Unternehmen über ein Umweltmanagementsystem (UMS), das das Abfallaufkommen, den Energieverbrauch, den Wasserverbrauch und die Kohlendioxidemissionen abdeckt und eines der folgenden Elemente umfasst?                                  ;ALL                                                                        ;class SustanabilityProfile            ;ENVIRONMENTAL_AWARENESS   ;environmental_management_system       ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Welche Informationen macht das Unternehmen öffentlich zugänglich und transparent?                                                                                                                                                                     ;ALL                                                                        ;class SustanabilityProfile            ;TRANSPARENCY              ;company_transparency                  ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Gründungsjahr                                                                                                                                                                                                                                         ;ALL                                                                        ;class Company                         ;DETAILS_BUSINESS_FIGURES  ;founding_year                         ;-             ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
