Package/Bezeichnung/Footprint/Description;    ;                                                                   ;                    ;Packaging Type                                ;Mount Type   ;Length;Width
ODFN                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
SOP                                      ;Enum;SO08,SO8,SO14,SO16,SO14W,SO16W,SO18W,SO20W,SO24W,SO28W             ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
CSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
DSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
HSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
HSSOP                                    ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
HTSSOP                                   ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
mini-SOIC                                ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
PSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
PSON                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
QSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
SOIC                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
SOJ                                      ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
SON                                      ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
SSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
TSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
TSSOP                                    ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
TSSOP-8                                  ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
TSSOP-14                                 ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
